arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.1005,0.0032500000000000003,-2.6151685e-12,5.157613e-12,0.10075,0.00275,6.345102e-15,-1.3994893e-14
baseline,0.101,0.0032500000000000003,-2.176347e-12,5.3681022e-12,0.10125,0.00275,5.139462e-15,-1.4450389e-14
baseline,0.1015,0.0032500000000000003,-1.7222611e-12,5.540738e-12,0.10175000000000001,0.00275,3.897877e-15,-1.4804005e-14
baseline,0.10200000000000001,0.0032500000000000003,-1.2561488e-12,5.6743056e-12,0.10225000000000001,0.00275,2.6290425e-15,-1.5053165e-14
baseline,0.10250000000000001,0.0032500000000000003,-7.8126427e-13,5.767857e-12,0.10275000000000001,0.00275,1.3419344e-15,-1.519625e-14
baseline,0.10300000000000001,0.0032500000000000003,-3.0098463e-13,5.8207683e-12,0.10325000000000001,0.00275,4.5600568e-17,-1.5232133e-14
baseline,0.10350000000000001,0.0032500000000000003,1.8133472e-13,5.832662e-12,0.10375000000000001,0.00275,-1.2507834e-15,-1.5160734e-14
baseline,0.10400000000000001,0.0032500000000000003,6.622682e-13,5.8034714e-12,0.10425000000000001,0.00275,-2.538136e-15,-1.4982454e-14
baseline,0.1045,0.0032500000000000003,1.1384523e-12,5.733412e-12,0.10475,0.00275,-3.8073597e-15,-1.4698653e-14
baseline,0.105,0.0032500000000000003,1.6065098e-12,5.6229483e-12,0.10525,0.00275,-5.049517e-15,-1.4311313e-14
baseline,0.1055,0.0032500000000000003,2.063165e-12,5.4729207e-12,0.10575,0.00275,-6.255884e-15,-1.3823261e-14
baseline,0.106,0.0032500000000000003,2.5051892e-12,5.284352e-12,0.10625,0.00275,-7.4179275e-15,-1.3237804e-14
baseline,0.1065,0.0032500000000000003,2.929481e-12,5.058614e-12,0.10675,0.00275,-8.527507e-15,-1.255922e-14
baseline,0.107,0.0032500000000000003,3.3330407e-12,4.797269e-12,0.10725,0.00275,-9.576799e-15,-1.1792208e-14
baseline,0.1075,0.0032500000000000003,3.7130568e-12,4.5021972e-12,0.10775,0.00275,-1.0558435e-14,-1.0942294e-14
baseline,0.108,0.0032500000000000003,4.0668233e-12,4.1754412e-12,0.10825,0.00275,-1.1465482e-14,-1.0015366e-14
baseline,0.1085,0.0032500000000000003,4.391881e-12,3.81934e-12,0.10875,0.00275,-1.229163e-14,-9.018054e-15
baseline,0.109,0.0032500000000000003,4.6859404e-12,3.4364245e-12,0.10925,0.00275,-1.3030955e-14,-7.957395e-15
baseline,0.1095,0.0032500000000000003,4.9469305e-12,3.0293589e-12,0.10975,0.00275,-1.3678407e-14,-6.8408295e-15
baseline,0.11,0.0032500000000000003,5.1730248e-12,2.6010327e-12,0.11025,0.00275,-1.4229339e-14,-5.6762503e-15
baseline,0.1105,0.0032500000000000003,5.3626e-12,2.1544812e-12,0.11075,0.00275,-1.4679965e-14,-4.471894e-15
baseline,0.111,0.0032500000000000003,5.5143832e-12,1.6928194e-12,0.11125,0.00275,-1.5027013e-14,-3.2362217e-15
baseline,0.1115,0.0032500000000000003,5.627293e-12,1.2193274e-12,0.11175,0.00275,-1.5268267e-14,-1.9779704e-15
baseline,0.112,0.0032500000000000003,5.7005407e-12,7.373386e-13,0.11225,0.00275,-1.5401832e-14,-7.0597576e-16
baseline,0.1125,0.0032500000000000003,5.7336015e-12,2.502452e-13,0.11275,0.00275,-1.542688e-14,5.7075e-16
baseline,0.113,0.0032500000000000003,5.7262866e-12,-2.385185e-13,0.11325,0.00275,-1.534327e-14,1.8432648e-15
baseline,0.1135,0.0032500000000000003,5.6786112e-12,-7.2550917e-13,0.11375,0.00275,-1.5151573e-14,3.1025783e-15
baseline,0.114,0.0032500000000000003,5.5909596e-12,-1.2073014e-12,0.11425,0.00275,-1.485317e-14,4.3398042e-15
baseline,0.1145,0.0032500000000000003,5.4639292e-12,-1.6804941e-12,0.11475,0.00275,-1.4450175e-14,5.5462832e-15
baseline,0.115,0.0032500000000000003,5.2984357e-12,-2.1417625e-12,0.11525,0.00275,-1.394542e-14,6.7134646e-15
baseline,0.1155,0.0032500000000000003,5.0956422e-12,-2.5878648e-12,0.11575,0.00275,-1.3342575e-14,7.83316e-15
baseline,0.116,0.0032500000000000003,4.856994e-12,-3.0156463e-12,0.11625,0.00275,-1.2645839e-14,8.897503e-15
baseline,0.1165,0.0032500000000000003,4.5841846e-12,-3.4221202e-12,0.11675,0.00275,-1.1860112e-14,9.8989835e-15
baseline,0.117,0.0032500000000000003,4.2791343e-12,-3.8044164e-12,0.11725000000000001,0.00275,-1.09910275e-14,1.0830586e-14
baseline,0.11750000000000001,0.0032500000000000003,3.9439858e-12,-4.1598266e-12,0.11775000000000001,0.00275,-1.00445995e-14,1.16857e-14
baseline,0.11800000000000001,0.0032500000000000003,3.5811157e-12,-4.485873e-12,0.11825000000000001,0.00275,-9.02763e-15,1.2458379e-14
baseline,0.11850000000000001,0.0032500000000000003,3.1930964e-12,-4.7802808e-12,0.11875000000000001,0.00275,-7.947222e-15,1.3143198e-14
baseline,0.11900000000000001,0.0032500000000000003,2.7826426e-12,-5.040953e-12,0.11925000000000001,0.00275,-6.8110233e-15,1.3735344e-14
baseline,0.11950000000000001,0.0032500000000000003,2.3526862e-12,-5.2660662e-12,0.11975000000000001,0.00275,-5.6270144e-15,1.4230626e-14
baseline,0.12,0.0032500000000000003,1.9062128e-12,-5.454055e-12,0.12025,0.00275,-4.403629e-15,1.4625523e-14
baseline,0.1205,0.0032500000000000003,1.4464068e-12,-5.6035996e-12,0.12075,0.00275,-3.1493615e-15,1.4917446e-14
baseline,0.121,0.0032500000000000003,9.764732e-13,-5.7136453e-12,0.12125,0.00275,-1.8731852e-15,1.5104232e-14
baseline,0.1215,0.0032500000000000003,4.9977584e-13,-5.7834224e-12,0.12175,0.00275,-5.839846e-16,1.5184512e-14
baseline,0.122,0.0032500000000000003,1.9615938e-14,-5.812453e-12,0.12225,0.00275,7.0908596e-16,1.5157873e-14
baseline,0.1225,0.0032500000000000003,-4.605738e-13,-5.8005584e-12,0.12275,0.00275,1.9969746e-15,1.5024506e-14
baseline,0.123,0.0032500000000000003,-9.374569e-13,-5.7477985e-12,0.12325,0.00275,3.2705628e-15,1.4785312e-14
baseline,0.1235,0.0032500000000000003,-1.4076346e-12,-5.654547e-12,0.12375,0.00275,4.520922e-15,1.4442083e-14
baseline,0.124,0.0032500000000000003,-1.8678314e-12,-5.521511e-12,0.12425,0.00275,5.7392026e-15,1.39971475e-14
baseline,0.1245,0.0032500000000000003,-2.3147831e-12,-5.349588e-12,0.12475,0.00275,6.9168744e-15,1.3453723e-14
baseline,0.125,0.0032500000000000003,-2.7453406e-12,-5.1400277e-12,0.12525,0.00275,8.045637e-15,1.2815609e-14
absorber_repair,0.025,0.0032500000000000003,-3.3265792e-12,4.914369e-12,0.02525,0.00275,7.883643e-15,-1.3398628e-14
absorber_repair,0.025500000000000002,0.0032500000000000003,-2.9066604e-12,5.1729784e-12,0.025750000000000002,0.00275,6.7177302e-15,-1.4017632e-14
absorber_repair,0.026000000000000002,0.0032500000000000003,-2.4663995e-12,5.3950178e-12,0.026250000000000002,0.00275,5.5047837e-15,-1.45375e-14
