tag,theta_deg,refine,plane,frequency_Hz,native_s_params,diagnostic_magnitude,diagnostic_phase_deg,analytic_reported_angle_magnitude,analytic_reported_angle_phase_deg,analytic_normal_magnitude,analytic_normal_phase_deg,magnitude_error_db_at_angle,magnitude_error_db_at_normal,phase_error_deg_at_angle,phase_error_deg_at_normal
full_theta45_r1,45.0,1,source_plane,5750000000.0,None,0.5877955555915833,-153.35350036621094,0.7476674800068446,-44.0765917709455,0.5892305891148854,-141.37200700043243,-2.0896438664068704,-0.021179731720292222,-109.27689471429215,-11.981479484805217
full_theta45_r1,45.0,1,source_plane,5875000000.0,None,0.5881751179695129,-157.64208984375,0.7459907374909088,-50.25659868689578,0.5852876192998607,-149.96437247270353,-2.0645357375296354,0.04274621527895224,-107.38548378653879,-7.677710000731022
full_theta45_r1,45.0,1,source_plane,6000000000.0,None,0.5831301212310791,-161.5600128173828,0.743848989689826,-56.44566408995886,0.5807025884298928,-158.5707683607099,-2.1143860452539958,0.03623426701588711,-105.11434135644103,-2.9892370856899872
full_theta45_r1,45.0,1,ahead_plane,4000000000.0,None,0.6105771064758301,87.66411590576172,0.7229670895546855,93.60664672801164,0.5807025884298928,50.57076836071002,-1.4675602325356796,0.43573509151338946,-5.942537887472129,37.09334047982949
full_theta45_r1,45.0,1,ahead_plane,4125000000.0,None,0.621147632598877,79.47781372070312,0.7279651294591041,88.91759466495016,0.5852876192998607,44.21437247270363,-1.378314843649195,0.5165099364431629,-9.439781290881696,35.26344090136484
full_theta45_r1,45.0,1,ahead_plane,4250000000.0,None,0.6261955499649048,70.6320571899414,0.7323980481289037,84.25037380315861,0.5892305891148852,37.87200700043252,-1.3607440244791924,0.528493848474815,-13.618317995739162,32.76004880698693
full_theta45_r1,45.0,1,ahead_plane,4375000000.0,None,0.6258392333984375,61.39448928833008,0.7362905819498728,79.60254263135624,0.592544599053349,31.54166131707984,-1.4117292019088599,0.47483482617753675,-18.208056301405964,29.85282501287044
full_theta45_r1,45.0,1,ahead_plane,4500000000.0,None,0.6203896403312683,51.636226654052734,0.7396644005479653,74.9717246463491,0.5952407889492943,25.221326393283537,-1.527403597801712,0.3594370686004745,-23.3354981965003,26.414900056565262
full_theta45_r1,45.0,1,ahead_plane,4625000000.0,None,0.609302818775177,41.58493423461914,0.7425382372479639,70.35560185709053,0.5973283062115685,18.908995625117637,-1.717712708504643,0.1724018336170841,-28.770668079722103,22.675938152250794
full_theta45_r1,45.0,1,ahead_plane,4750000000.0,None,0.5940301418304443,31.178720474243164,0.7449280072694344,65.7519078617233,0.598814284027931,12.602665053323767,-1.9661164137966352,-0.06967338414473753,-34.57318914049473,18.576053667904795
